x	MP_T2Blank_S3_L002	MP_T2S1_S3_L002	MP_T2S2_S3_L002	MP_T2S3_S3_L002	MP_T2S4_S3_L002	MP_T2S5_S3_L002	MP_T2S6_S3_L002	MP_T2S7_S3_L002	MP_T2S8_S3_L002	MP_T2S9_S3_L002	MP_T2S10_S3_L002	MP_T2S11_S3_L002	MP_T2WC_S3_L002	MP_T2Tiana_S3_L002	MP_T3S1_S3_L002	MP_T3S2_S3_L002	MP_T3S3_S3_L002	MP_T3S4_S3_L002	MP_T3S5_S3_L002	MP_T3S6_S3_L002	MP_T3S7_S3_L002	MP_T3S8_S3_L002	MP_T3S9_S3_L002	MP_T3S10_S3_L002	MP_T3S11_S3_L002	MP_T3WC_S3_L002	MP_T3Tiana_S3_L002	MP_T5Blank_S4_L002	MP_T5S1_S3_L002	MP_T5S2_S3_L002	MP_T5S3_S3_L002	MP_T5S4_S3_L002	MP_T5S5_S3_L002	MP_T5S6_S3_L002	MP_T5S7_S3_L002	MP_T5S8_S3_L002	MP_T5S9_S3_L002	MP_T5S10_S3_L002	MP_T5S11_S3_L002	MP_T5WC_S4_L002	MP_T5Tiana_S4_L002	MP_A_Blank_S4_L002	MP_AC4_S4_L002	MP_AC5_S4_L002	MP_AS1_S4_L002	MP_AS3_S4_L002	MP_AS6_S4_L002	MP_AS9_S4_L002	MP_J_Blank_S4_L002	MP_JC4_S4_L002	MP_JC5_S4_L002	MP_JS1_S4_L002	MP_JS3_S4_L002	MP_JS6_S4_L002	MP_JS9_S4_L002	MP_S_Blank_S4_L002	MP_SC4_S4_L002	MP_SC5_S4_L002	MP_SS1_S4_L002	MP_SS3_S4_L002	MP_SS6_S4_L002	MP_SS9_S4_L002
ASV_143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_144	0	0	302	0	0	0	0	0	0	346	0	0	403	0	0	0	0	0	0	0	709	0	0	456	325	0	1130	0	0	0	0	208	0	0	0	577	940	802	434	0	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_146	0	0	919	0	0	0	747	0	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510	719	0	630	0	0	0	0	0	0	0	0	0	0	431	0	0	0	0	0	0	0	0	0	0	0	0	1436	0	0	0	0	0	0	0	0	0	0	0
ASV_147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_148	0	0	0	0	392	291	861	0	0	0	0	0	0	588	622	0	0	695	411	0	433	15	272	0	0	0	0	0	0	0	0	494	305	0	595	0	181	582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_150	0	0	2746	0	0	0	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	1530	0	0	0	0	0	0	0	0	1176	0	0	0	0	570	0	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_151	0	0	614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	881	0	0	0	621	682	609	637	837	485	0	0	0	0	0	0	0	0	0	0	0	753	0	0	0	0	0	0	0	0	0	0	0
ASV_152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_154	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	381	0	0	1153	1931	0	0	672	0	0	0	0	554	0	0	0	0	609	0	0	0	1044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_155	0	0	288	0	0	0	0	0	0	422	1587	209	0	0	0	0	0	0	1151	0	0	0	263	0	331	0	464	0	0	0	467	186	380	452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_157	0	0	18	0	111	110	265	0	15	48	98	22	28	180	242	0	7	244	187	1124	185	26	353	1088	53	27	41	0	0	23	48	1529	34	47	20	43	57	27	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_160	0	0	207	0	122	176	0	0	0	259	0	0	0	102	0	0	0	0	133	0	108	623	0	383	231	0	359	0	0	254	396	0	0	344	253	392	549	0	596	0	0	0	0	0	0	0	0	0	0	0	732	0	0	0	0	0	0	0	0	0	0	0
ASV_161	0	0	0	0	0	222	0	0	0	0	154	0	0	0	665	0	0	420	398	1363	377	0	360	624	0	0	0	0	0	0	0	1374	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_166	0	6	209	0	156	127	117	0	125	189	66	0	200	0	0	7	0	5	121	138	0	252	183	234	172	0	496	0	6	148	309	0	263	279	233	342	301	182	268	0	187	0	0	0	0	0	0	0	0	0	409	0	0	0	0	0	0	0	0	0	0	0
ASV_169	0	0	0	0	0	0	0	0	0	476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_172	0	11	5	0	14	8	26	8	5	12	0	6	8	16	22	0	0	17	14	6	20	0	10	7	5	29	13	0	15	3	8	13	8	4974	10	8	14	12	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_175	0	0	0	0	0	0	0	0	0	0	5208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_181	0	0	0	0	0	0	0	0	0	1735	0	0	0	0	0	0	0	0	572	0	0	0	0	0	0	0	0	0	0	0	0	303	601	0	452	0	653	0	642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_182	0	0	0	0	0	0	0	0	0	0	0	0	0	1015	0	0	0	590	849	0	2042	0	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_183	0	0	140	0	77	108	94	0	147	156	58	92	196	0	0	0	0	0	108	127	0	218	101	0	173	16	421	0	0	0	288	80	153	0	187	541	266	147	199	0	154	0	0	0	0	0	0	0	0	0	335	0	0	0	0	0	0	0	0	0	0	0
ASV_188	0	0	0	0	0	468	464	0	0	0	0	0	0	360	522	0	0	1280	636	424	368	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_189	0	9	97	0	821	67	47	0	82	61	60	65	85	28	10	0	7	38	46	824	50	106	62	88	78	15	161	0	0	48	131	49	110	129	78	127	133	816	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_190	0	8	55	0	25	32	0	0	0	42	11	3249	0	14	0	3	0	0	26	0	26	82	37	63	40	16	83	0	0	37	75	25	70	59	53	78	74	50	65	0	37	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0
ASV_191	0	0	0	0	0	351	571	0	0	629	0	0	0	658	569	0	0	0	0	0	987	0	0	0	0	0	0	0	0	0	0	771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_200	0	0	134	0	0	154	90	0	135	157	62	0	125	59	0	0	0	9	0	128	0	240	115	0	156	18	225	0	0	142	235	94	171	247	178	239	311	144	0	0	119	0	0	0	0	0	0	0	0	0	283	0	5	0	0	0	0	0	0	0	0	0
ASV_203	0	0	0	0	0	0	173	0	0	236	507	0	0	172	0	0	0	0	139	313	0	0	0	338	230	0	0	0	0	0	378	0	0	0	0	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	1266	0	0	0	0	0	0	0	0	0	0	0
